attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,CARIRSMOVRCONPP,0.006507592,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOALBERTSONS,0.5,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOHDS,0.037037037,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,EGL,0.023608403,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,LLA,0.04079766,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RDT,0.059633028,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FSO,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,MPB,0,adproperty_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIDSMOVER2,0.037291236,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSMOVRVART,0.064261556,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOGENMILL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOHOME,0,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,CBI,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SUP,0.010928961,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,ARB,0.029411765,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,GDN,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,AMB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FSB,9.74E-04,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,$ql,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,0,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,CDT,0.017414473,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,GBR,0.03923576,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,LMP,0.014834148,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SHA,0.023255814,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,,0.04287587,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,IFM,0.008518519,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,ZNG,0.030803908,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,BMB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,DLA,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FBI,0.01427843,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SGL,0.051081732,adproperty_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIARM,0,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,889,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,QKY,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,QLC,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,DML,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RMD,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FPT,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RYM,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SOC,0.033898305,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SUR,0.125,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,YTB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,IOA,0.036065575,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,TPT,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SPF,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,BKW,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RYA,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,mmc,0.125,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,CKR,0.02328767,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,NMW,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RBM,0.04524783,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,YBR,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,YFS,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RYB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,PAN,0,adproperty_close_rate,2/23/20,5/23/20
LeadTypeCode,ACCARIPWRPCK,0.33333334,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,DMF,0.018181818,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,GBL,0.039215688,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,LTA,0.020115295,adproperty_close_rate,2/23/20,5/23/20
LeadTypeCode,QSQLTier4,0,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,CDM,0.04761905,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,MMC,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,TMR,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,GAW,0.011145957,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,MMO,0.009050256,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,qlc,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,PUB,0.019889357,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,BZB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FBD,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,PPR,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,NTR,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,LDT,0.038148843,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RHE,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RHM,0.004115226,adproperty_close_rate,2/23/20,5/23/20
LeadTypeCode,HOQLM,0,LTC_close_rate,2/23/20,5/23/20
adproperty_parsed,NMA,0.04347826,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RGA,0.06031746,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,STF,0.5,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,NAT,0.019787233,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,MYQ,0.27272728,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,LMD,0.020426495,adproperty_close_rate,2/23/20,5/23/20
State,AZ,0.04135994,state_close_rate,2/23/20,5/23/20
State,SC,0.027079063,state_close_rate,2/23/20,5/23/20
State,DC,0.024653476,state_close_rate,2/23/20,5/23/20
adproperty_parsed,NAB,0,adproperty_close_rate,2/23/20,5/23/20
State,RI,0.021481862,state_close_rate,2/23/20,5/23/20
adproperty_parsed,GNS,0,adproperty_close_rate,2/23/20,5/23/20
State,NH,0.02995467,state_close_rate,2/23/20,5/23/20
State,NV,0.03296202,state_close_rate,2/23/20,5/23/20
State,MT,0.025469832,state_close_rate,2/23/20,5/23/20
State,VT,0.02354195,state_close_rate,2/23/20,5/23/20
adproperty_parsed,PIN,0,adproperty_close_rate,2/23/20,5/23/20
State,IL,0.017567215,state_close_rate,2/23/20,5/23/20
State,ND,0.019665916,state_close_rate,2/23/20,5/23/20
State,WA,0.03968309,state_close_rate,2/23/20,5/23/20
State,IN,0.024394467,state_close_rate,2/23/20,5/23/20
State,TN,0.026704956,state_close_rate,2/23/20,5/23/20
State,PA,0.021288835,state_close_rate,2/23/20,5/23/20
State,TX,0.022873288,state_close_rate,2/23/20,5/23/20
adproperty_parsed,DMP,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,NXB,0,adproperty_close_rate,2/23/20,5/23/20
State,WV,0.018915562,state_close_rate,2/23/20,5/23/20
adproperty_parsed,RMM,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,non,0,adproperty_close_rate,2/23/20,5/23/20
State,AK,0.031469487,state_close_rate,2/23/20,5/23/20
State,OK,0.019346768,state_close_rate,2/23/20,5/23/20
State,MP,0,state_close_rate,2/23/20,5/23/20
adproperty_parsed,CDV,1,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,430,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,CNN,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,MLD,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,SPY,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,FRU,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,YBM,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,THV,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,KGO,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,WST,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,HSL,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,USB,0,adproperty_close_rate,2/23/20,5/23/20
adproperty_parsed,RKL,0,adproperty_close_rate,2/23/20,5/23/20
State,ON,0,state_close_rate,2/23/20,5/23/20
State,AA,0,state_close_rate,2/23/20,5/23/20
State,,0,state_close_rate,2/23/20,5/23/20
State,HAM,0,state_close_rate,2/23/20,5/23/20
