attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,reloant,0.0,LTC_close_rate,2021-06-26,2021-09-26
adproperty_parsed,CNN,0.0,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,WBP,0.0,adproperty_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carictdmxmap,0.009489917,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carilivrefipo,0.005988024,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirsrmsthinkp,0.016216217,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,gsql,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,gsqlf,0.0063752923,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lcqlrzp,0.0026923076,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,msr2hbrwham,0.16785714,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,reloalbertsons,0.22222222,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relonei,0.09944751,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rmamexpapp,0.12087912,LTC_close_rate,2021-06-26,2021-09-26
adproperty_parsed,MPM,0.0,adproperty_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relopowr,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rlhap,0.09736136,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rmamexapp,0.2536023,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rmturbohap,0.03255024,LTC_close_rate,2021-06-26,2021-09-26
State,AZ,0.044663742,state_close_rate,2021-06-26,2021-09-26
State,SC,0.031689093,state_close_rate,2021-06-26,2021-09-26
LeadTypeCode,abcblp,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,fbqllow,0.042833608,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,hlbp_googleweb,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,vacpres,0.0020263426,LTC_close_rate,2021-06-26,2021-09-26
State,LA,0.019301,state_close_rate,2021-06-26,2021-09-26
LeadTypeCode,fbqlemail,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlhe3,0.031471282,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carictdmxmmar,0.03087886,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,gsltgr,0.009353251,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rscariwd30p,0.016806724,LTC_close_rate,2021-06-26,2021-09-26
adproperty_parsed,LMB,0.050171036,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,LMX,0.008891524,adproperty_close_rate,2021-06-26,2021-09-26
State,MN,0.03217505,state_close_rate,2021-06-26,2021-09-26
adproperty_parsed,HAS,0.0,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,LWB,0.07699967,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,SUP,0.0,adproperty_close_rate,2021-06-26,2021-09-26
LeadTypeCode,fbqlef,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,jumbormkt,8.767123E-4,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lmblpv3,0.044384263,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,oprp,1.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relocity,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relonord,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,whamespv1,0.0072969543,LTC_close_rate,2021-06-26,2021-09-26
State,NJ,0.03230347,state_close_rate,2021-06-26,2021-09-26
adproperty_parsed,APP,0.062111802,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,ESC,0.1338257,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,axp,0.15239295,adproperty_close_rate,2021-06-26,2021-09-26
adproperty_parsed,RMM,0.0,adproperty_close_rate,2021-06-26,2021-09-26
